Pure Storage PowerShell SDK v2 to FlashArray Purity API Version Matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated 09-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
©Pure Storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDK Cmdlet,API Version,Parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,..,APIClients,AbortQuiesce,Admin,AdminSettings,Alert,ApiToken,App,AppNames,ApplyRetention,Array,Command,Connection,CurrentStepId,Destroyed,DirectoryService,DirectoryServiceRoles,Dns,EndTime,Eula,ExposeApiToken,Filter,Flagged,GrantType,GroupIds,GroupNames,Hardware,Host,HostGroup,HostGroupNames,HostNames,Ids,Initialize,Keys,Kmip,Limit,LocalPodIds,LocalPodNames,MaintenanceWindow,MemberIds,MemberNames,Names,Namespaces,Offload,Offset,On,Overwrite,Pod,PodReplicaLink,PromoteFrom,ProtectionGroup,ProtectionGroupSnapshot,Protocol,ProtocolEndpointNames,ProtocolGroup,Quiesce,RemoteIds,RemoteNames,RemotePodIds,RemotePodNames,RemoteProtectionGroup,RemoteProtectionGroupSnapshot,RemoveAllEntries,Resolution,ResourceDestroyed,ResourceIds,ResourceNames,RoleNames,SkipQuiesce,SmiS,SoftwareIds,SoftwareInstallationIds,SoftwareInstallations,SoftwareNames,Sort,SourceIds,SourceNames,StartTime,SubjectToken,SubjectTokenType,Subnet,Support,Tag,Target,TestType,Timeout,TotalItemCount,TotalOnly,Truncate,Versions,Volume,VolumeGroup,VolumeNames,VolumeSnapshot,WithUnknown,XAuthToken
Get-Pfa2ProtectionGroupVolume,2.1,,,,,,,,,,,,,,,,,,,,,2.1,,,,2.1,,,,,,,,,,2.1,,,,,2.1,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,2.1,,,,,,,,,
Get-Pfa2RemotePod,2.1,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,2.1,,,,2.1,,,,,,2.1,,,2.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,2.1,,,,,,,,,
Get-Pfa2RemoteProtectionGroup,2.1,,,,,,,,,,,,,,2.1,,,,,,,2.1,,,,,,,,,,2.1,,,,2.1,,,,,,2.1,,,2.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,2.1,,,,,,,,,
Get-Pfa2RemoteProtectionGroupSnapshot,2.1,,,,,,,,,,,,,,2.1,,,,,,,2.1,,,,,,,,,,,,,,2.1,,,,,,2.1,,,2.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,2.1,,,,,,,,,,2.1,,,,,,,,,
Get-Pfa2RemoteProtectionGroupSnapshotTransfer,2.1,,,,,,,,,,,,,,2.1,,,,,,,2.1,,,,,,,,,,,,,,2.1,,,,,,2.1,,,2.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,2.1,,,,,,,,,,2.1,2.1,,,,,,,,
Get-Pfa2RemoteVolumeSnapshot,2.1,,,,,,,,,,,,,,2.1,,,,,,,2.1,,,,,,,,,,2.1,,,,2.1,,,,,,2.1,,,2.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.1,2.1,,,,,,,,,,2.1,,,,,,,,,
Get-Pfa2RemoteVolumeSnapshotTransfer,2.1,,,,,,,,,,,,,,2.1,,,,,,,2.1,,,,,,,,,,2.1,,,,2.1,,,,,,2.1,,,2.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.1,2.1,,,,,,,,,,2.1,2.1,,,,,,,,
Get-Pfa2SmiS,2.2,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,2.2,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,2.2,,,,,,,,,
Get-Pfa2Software,2.2,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,2.2,,,,2.2,,,,,,2.2,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,2.2,,,2.2,,,,,,
Get-Pfa2SoftwareInstallation,2.2,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,2.2,,,,2.2,,,,,,2.2,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,2.2,2.2,,,,,,,,,,,,2.2,,,,,,,,,
Get-Pfa2SoftwareInstallationStep,2.2,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,2.2,,,,2.2,,,,,,2.2,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,2.2,,,,,,,,,,,,2.2,,,,,,,,,
Get-Pfa2Subnet,2.2,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,2.2,,,,,,2.2,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,2.2,,,,,,,,,
Get-Pfa2Support,2.2,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,2.2,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,2.2,,,,,,,,,
Get-Pfa2SupportTest,2.2,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,2.2,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,2.2,,2.2,,,,,,,,,
Get-Pfa2Volume,2,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,2,,,,2,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,2,,,,,,,,
Get-Pfa2VolumeGroup,2.1,,,,,,,,,,,,,,2.1,,,,,,,2.1,,,,,,,,,,2.1,,,,2.1,,,,,,2.1,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,2.1,2.1,,,,,,,,
Get-Pfa2VolumeGroupPerformance,2.1,,,,,,,,,,,,,,2.1,,,,2.1,,,2.1,,,,,,,,,,2.1,,,,2.1,,,,,,2.1,,,2.1,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,2.1,,,2.1,,,,,,,,,2.1,2.1,,,,,,,,
Get-Pfa2VolumeGroupSpace,2.1,,,,,,,,,,,,,,2.1,,,,2.1,,,2.1,,,,,,,,,,2.1,,,,2.1,,,,,,2.1,,,2.1,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,2.1,,,2.1,,,,,,,,,2.1,2.1,,,,,,,,
Get-Pfa2VolumeGroupVolume,2.1,,,,,,,,,,,,,,,,,,,,,2.1,,,2.1,2.1,,,,,,,,,,2.1,,,,2.1,2.1,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,2.1,,,,,,,,,
Get-Pfa2VolumePerformance,2,,,,,,,,,,,,,,2,,,,2,,,2,,,,,,,,,,2,,,,2,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,2,,,,,,,,,2,2,,,,,,,,
Get-Pfa2VolumePerformanceByArray,2,,,,,,,,,,,,,,2,,,,2,,,2,,,,,,,,,,2,,,,2,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,2,,,,,,,,,2,2,,,,,,,,
Get-Pfa2VolumeProtectionGroup,2.1,,,,,,,,,,,,,,,,,,,,,2.1,,,,2.1,,,,,,,,,,2.1,,,,,2.1,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,2.1,,,,,,,,,
Get-Pfa2VolumeSnapshot,2,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,2,,,,2,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,2,2,,,,,,,,
Get-Pfa2VolumeSnapshotTags,2.2,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,2.2,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,2.2,2.2,2.2,,,,,,,,2.2,,,,,,,,,,,,2.2,,,,,,,,,
Get-Pfa2VolumeSnapshotTransfer,2,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,2,,,,2,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,2,2,,,,,,,,
Get-Pfa2VolumeSpace,2,,,,,,,,,,,,,,2,,,,2,,,2,,,,,,,,,,2,,,,2,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,2,,,,,,,,,2,2,,,,,,,,
Get-Pfa2VolumeTag,2.2,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,2.2,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,2.2,2.2,2.2,,,,,,,,2.2,,,,,,,,,,,,2.2,,,,,,,,,
Get-Pfa2VolumeVolumeGroup,2.1,,,,,,,,,,,,,,,,,,,,,2.1,,,2.1,2.1,,,,,,,,,,2.1,,,,2.1,2.1,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,2.1,,,,,,,,,
New-Pfa2Admin,2.2,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New-Pfa2AdminApiToken,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,
New-Pfa2ApiClient,2.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New-Pfa2Connection,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
New-Pfa2Host,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New-Pfa2HostGroup,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New-Pfa2HostGroupHost,2.1,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New-Pfa2HostGroupProtectionGroup,2.1,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New-Pfa2HostHostGroup,2.1,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New-Pfa2HostProtectionGroup,2.1,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New-Pfa2Kmip,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New-Pfa2Login,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New-Pfa2Logout,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
New-Pfa2MaintenanceWindow,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New-Pfa2Oauth210Token,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,
New-Pfa2Offload,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,2.1,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New-Pfa2Pod,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New-Pfa2PodArray,2.1,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.1,,,,,,,,,,,,,,2.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New-Pfa2PodReplicaLink,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,2.2,,,,,,,,,,,,,,,,,,,2.2,2.2,2.2,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New-Pfa2ProtectionGroup,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,
New-Pfa2ProtectionGroupHost,2.1,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New-Pfa2ProtectionGroupHostGroup,2.1,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New-Pfa2ProtectionGroupSnapshot,2.1,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,
New-Pfa2ProtectionGroupTarget,2.1,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New-Pfa2ProtectionGroupVolume,2.1,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New-Pfa2SoftwareInstallation,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,2.2,,,,,,,,,,,,,,,,,,,,,,,
New-Pfa2Subnet,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,
New-Pfa2Volume,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
New-Pfa2VolumeGroup,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,
New-Pfa2VolumeProtectionGroup,2.1,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New-Pfa2VolumeSnapshot,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,2,,
Remove-Pfa2Admin,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove-Pfa2AdminApiToken,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove-Pfa2AdminCache,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove-Pfa2ApiClient,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove-Pfa2Connection,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
Remove-Pfa2Host,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove-Pfa2HostGroup,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove-Pfa2HostGroupHost,2.1,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove-Pfa2HostGroupProtectionGroup,2.1,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove-Pfa2HostHostGroup,2.1,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove-Pfa2HostProtectionGroup,2.1,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove-Pfa2Kmip,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove-Pfa2MaintenanceWindow,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove-Pfa2Offload,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove-Pfa2Pod,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove-Pfa2PodArray,2.1,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.1,,,,,,,,,,,,,,2.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,
Remove-Pfa2PodReplicaLink,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,2.2,2.2,,,,,,,,,,,,,,,,,,,,,2.2,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove-Pfa2ProtectionGroup,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove-Pfa2ProtectionGroupHost,2.1,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove-Pfa2ProtectionGroupHostGroup,2.1,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove-Pfa2ProtectionGroupSnapshot,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove-Pfa2ProtectionGroupTarget,2.1,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove-Pfa2ProtectionGroupVolume,2.1,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove-Pfa2RemoteProtectionGroup,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,2.1,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove-Pfa2RemoteProtectionGroupSnapshot,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove-Pfa2Subnet,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove-Pfa2Volume,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove-Pfa2VolumeGroup,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove-Pfa2VolumeProtectionGroup,2.1,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove-Pfa2VolumeSnapshot,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove-Pfa2VolumeSnapshotTags,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,2.2,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove-Pfa2VolumeTag,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,2.2,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set-Pfa2AdminCache,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set-Pfa2VolumeSnapshotTagsBatch,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,2.2,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,
Set-Pfa2VolumeTagBatch,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,2.2,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,
Update-Pfa2Admin,2.2,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update-Pfa2AdminSetting,2.2,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update-Pfa2Alert,2.2,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update-Pfa2ApiClient,2.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update-Pfa2App,2.2,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update-Pfa2Array,2.2,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update-Pfa2ArrayEula,2.2,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update-Pfa2DirectoryService,2.2,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
