Pure Storage PowerShell SDK v2 to FlashArray Purity API Version Matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated 09-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
©Pure Storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDK Cmdlet,API Version,Parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,..,APIClients,AbortQuiesce,Admin,AdminSettings,Alert,ApiToken,App,AppNames,ApplyRetention,Array,Command,Connection,CurrentStepId,Destroyed,DirectoryService,DirectoryServiceRoles,Dns,EndTime,Eula,ExposeApiToken,Filter,Flagged,GrantType,GroupIds,GroupNames,Hardware,Host,HostGroup,HostGroupNames,HostNames,Ids,Initialize,Keys,Kmip,Limit,LocalPodIds,LocalPodNames,MaintenanceWindow,MemberIds,MemberNames,Names,Namespaces,Offload,Offset,On,Overwrite,Pod,PodReplicaLink,PromoteFrom,ProtectionGroup,ProtectionGroupSnapshot,Protocol,ProtocolEndpointNames,ProtocolGroup,Quiesce,RemoteIds,RemoteNames,RemotePodIds,RemotePodNames,RemoteProtectionGroup,RemoteProtectionGroupSnapshot,RemoveAllEntries,Resolution,ResourceDestroyed,ResourceIds,ResourceNames,RoleNames,SkipQuiesce,SmiS,SoftwareIds,SoftwareInstallationIds,SoftwareInstallations,SoftwareNames,Sort,SourceIds,SourceNames,StartTime,SubjectToken,SubjectTokenType,Subnet,Support,Tag,Target,TestType,Timeout,TotalItemCount,TotalOnly,Truncate,Versions,Volume,VolumeGroup,VolumeNames,VolumeSnapshot,WithUnknown,XAuthToken
Get-Pfa2HostGroupHost,2,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,2,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,
Get-Pfa2HostGroupPerformance,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,2,,,,,,,,
Get-Pfa2HostGroupPerformanceByArray,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,2,,,,,,,,
Get-Pfa2HostGroupProtectionGroup,2.1,,,,,,,,,,,,,,,,,,,,,2.1,,,,2.1,,,,,,,,,,2.1,,,,,2.1,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,2.1,,,,,,,,,
Get-Pfa2HostGroupSpace,2.1,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,2.1,,,,,,2.1,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,2.1,,,,,,,,,
Get-Pfa2HostHostGroup,2,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,2,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,
Get-Pfa2HostPerformance,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,2,,,,,,,,
Get-Pfa2HostPerformanceByArray,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,2,,,,,,,,
Get-Pfa2HostProtectionGroup,2.1,,,,,,,,,,,,,,,,,,,,,2.1,,,,2.1,,,,,,,,,,2.1,,,,,2.1,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,2.1,,,,,,,,,
Get-Pfa2HostSpace,2.1,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,2.1,,,,,,2.1,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,2.1,,,,,,,,,
